country;magpiecell
SEN;1
SEN;2
GMB;3
SEN;4
SEN;5
SEN;6
MRT;7
MRT;8
ESH;9
ESH;10
SEN;11
SEN;12
GMB;13
SEN;14
SEN;15
SEN;16
SEN;17
SEN;18
SEN;19
MRT;20
MRT;21
MRT;22
MRT;23
MRT;24
MRT;25
MRT;26
ESH;27
ESH;28
ESH;29
GNB;30
SEN;31
SEN;32
SEN;33
SEN;34
SEN;35
SEN;36
SEN;37
SEN;38
MRT;39
MRT;40
MRT;41
MRT;42
MRT;43
MRT;44
MRT;45
MRT;46
MRT;47
MRT;48
ESH;49
ESH;50
ESH;51
ESH;52
ESH;53
GNB;54
GNB;55
GNB;56
SEN;57
SEN;58
SEN;59
SEN;60
SEN;61
SEN;62
SEN;63
SEN;64
MRT;65
MRT;66
MRT;67
MRT;68
MRT;69
MRT;70
MRT;71
MRT;72
MRT;73
MRT;74
ESH;75
ESH;76
ESH;77
ESH;78
ESH;79
ESH;80
GIN;81
GIN;82
GNB;83
GNB;84
SEN;85
SEN;86
SEN;87
SEN;88
SEN;89
SEN;90
SEN;91
SEN;92
MRT;93
MRT;94
MRT;95
MRT;96
MRT;97
MRT;98
MRT;99
MRT;100
MRT;101
MRT;102
ESH;103
ESH;104
ESH;105
ESH;106
ESH;107
ESH;108
ESH;109
ESH;110
ESH;111
GIN;112
GIN;113
GIN;114
GNB;115
GNB;116
SEN;117
GMB;118
SEN;119
SEN;120
SEN;121
SEN;122
SEN;123
SEN;124
MRT;125
MRT;126
MRT;127
MRT;128
MRT;129
MRT;130
MRT;131
MRT;132
MRT;133
MRT;134
ESH;135
ESH;136
ESH;137
ESH;138
ESH;139
ESH;140
ESH;141
ESH;142
ESH;143
ESH;144
GIN;145
GIN;146
GIN;147
GIN;148
GNB;149
GIN;150
SEN;151
SEN;152
SEN;153
SEN;154
SEN;155
SEN;156
SEN;157
MRT;158
MRT;159
MRT;160
MRT;161
MRT;162
MRT;163
MRT;164
MRT;165
MRT;166
MRT;167
MRT;168
ESH;169
ESH;170
ESH;171
ESH;172
ESH;173
ESH;174
ESH;175
ESH;176
ESH;177
ESH;178
GIN;179
GIN;180
GIN;181
GIN;182
GIN;183
GIN;184
GIN;185
SEN;186
SEN;187
SEN;188
SEN;189
SEN;190
SEN;191
MRT;192
MRT;193
MRT;194
MRT;195
MRT;196
MRT;197
MRT;198
MRT;199
MRT;200
MRT;201
MRT;202
MRT;203
ESH;204
ESH;205
ESH;206
ESH;207
ESH;208
ESH;209
ESH;210
ESH;211
ESH;212
ESH;213
ESH;214
ESH;215
SLE;216
SLE;217
SLE;218
SLE;219
GIN;220
GIN;221
GIN;222
GIN;223
GIN;224
GIN;225
SEN;226
SEN;227
SEN;228
SEN;229
SEN;230
MRT;231
MRT;232
MRT;233
MRT;234
MRT;235
MRT;236
MRT;237
MRT;238
MRT;239
MRT;240
MRT;241
MRT;242
MRT;243
MRT;244
MRT;245
MRT;246
ESH;247
ESH;248
ESH;249
ESH;250
ESH;251
ESH;252
ESH;253
ESH;254
ESH;255
SLE;256
SLE;257
SLE;258
SLE;259
SLE;260
GIN;261
GIN;262
GIN;263
GIN;264
GIN;265
SEN;266
SEN;267
SEN;268
SEN;269
SEN;270
MRT;271
MRT;272
MRT;273
MRT;274
MRT;275
MRT;276
MRT;277
MRT;278
MRT;279
MRT;280
MRT;281
MRT;282
MRT;283
MRT;284
MRT;285
MRT;286
MRT;287
